episode,reward,avg_reward,max_q,reward_var
1932,0.0,130.01561,-0.12349798,0.22590090324124218
1933,0.859366,131.145,24.164886,0.2260602544123068
1934,0.92249554,132.09091,24.620426,0.2267488939140353
1935,0.9382743,133.38232,24.94247,0.22703883372432224
1936,0.9489895,134.35635,25.037521,0.22680858961294548
1937,0.8246498,134.96266,23.862617,0.22391893457862536
1938,0.9188867,135.053,24.811613,0.22257367969685662
1939,0.0,135.5206,-0.036546424,0.22257367969685662
1940,0.0,134.90268,0.092746854,0.22257367969685662
1941,0.9677629,134.964,25.286186,0.22317879191390935
1942,0.9014559,136.0652,24.68117,0.22275466660401108
1943,0.0,136.77159,-0.1648784,0.22275466660401108
1944,0.6649287,136.60147,22.10982,0.2178885267910976
1945,0.0,136.44617,0.26356196,0.2186486720200319
1946,0.0,135.60275,0.1449167,0.2182354697504862
1947,0.0,134.29022,0.09247361,0.21793461657561003
1948,0.8484655,135.58438,24.33594,0.2164095323096152
1949,0.5924102,135.7519,21.289621,0.21190058416228466
1950,0.0,135.0646,-0.4548209,0.21190058416228466
1951,0.0,134.09161,-0.05392836,0.21190058416228466
1952,0.6802008,135.30957,22.400518,0.20758880435649266
1953,0.91917324,135.29047,25.41201,0.2070630715322907
1954,0.0,133.97064,-0.1924381,0.20880410983770561
1955,0.9424869,133.9501,25.604496,0.2079577087385586
1956,0.7775446,135.11363,23.845901,0.20409620932833689
1957,0.0,136.02689,18.230928,0.20409620932833689
1958,0.0,134.7009,0.4993967,0.20409620932833689
1959,0.0,134.8334,-0.22027086,0.20510466285960063
1960,0.7650606,135.7171,23.83661,0.20317793571174705
1961,0.7817261,136.64227,24.00827,0.2010402182142171
1962,0.684916,136.51204,22.841562,0.19757869174516762
1963,0.0,137.09412,-0.4941454,0.19757869174516762
1964,0.0,135.8912,0.14350042,0.19685371174876118
1965,0.0,135.34361,6.9210916,0.19685371174876118
1966,0.0,135.58014,-0.35726422,0.19685371174876118
1967,0.0,135.6602,0.09155679,0.19574433935165073
1968,0.0,135.43051,18.071035,0.19432713883305547
1969,0.0,135.72969,4.916903,0.19432713883305547
1970,0.0,135.28433,-0.019951135,0.19287594044405632
1971,0.0,135.19644,0.05702041,0.19287594044405632
1972,0.68309987,135.07982,22.997496,0.18948514715559006
1973,0.824724,135.05534,24.76247,0.18938993462794368
1974,0.6154875,135.35811,22.19497,0.18621307718316737
1975,0.0,135.40714,0.32157397,0.18335148490331682
1976,0.58616424,136.16742,22.45999,0.17700574845879033
1977,0.0,135.13472,0.05002296,0.17352084742450738
1978,0.50681853,136.1837,20.37902,0.16646677218656006
1979,0.7389255,137.43077,23.889893,0.16643575983318362
1980,0.0,137.06569,16.911634,0.16643575983318362
1981,0.5760302,137.32904,21.881104,0.16418746787076302
1982,0.0,136.8482,0.07592553,0.16418746787076302
1983,0.79779655,137.71451,24.737585,0.1630822432003023
1984,0.0,137.64738,-0.0628618,0.1599832887963229
1985,0.0,137.48877,-0.04346402,0.15581657231281973
1986,0.0,138.27623,-0.18326318,0.1506637309825899
1987,0.0,138.1013,0.04710847,0.14768162526028022
1988,0.0,137.32649,0.0669456,0.14193761100062155
1989,0.0,137.13454,0.17988355,0.14193761100062155
1990,0.0,137.93181,9.191866,0.14193761100062155
1991,0.5153698,137.76926,19.460808,0.13364706013898234
1992,0.0,137.14581,-1.8645966,0.12732999516783605
1993,0.0,136.91354,0.08067335,0.12732999516783605
1994,0.0,137.10313,-0.2351163,0.1254549760144241
1995,0.5567563,137.10294,3.033638,0.12582044867503556
1996,0.543563,136.83281,21.330322,0.1257867864041624
1997,0.7337105,136.71785,23.931599,0.12820604723273882
1998,0.0,136.33191,6.798367,0.12338160984185804
1999,0.7076112,136.49454,24.084684,0.12513275626882464
2000,0.0,137.31598,20.040333,0.12513275626882464
2001,0.0,137.24684,10.71308,0.12513275626882464
2002,0.0,137.43617,-0.10577835,0.12324043488355284
2003,0.0,136.11967,0.17144084,0.11560045225551534
2004,0.0,135.1222,-2.1694326,0.11560045225551534
2005,0.0,135.28531,-4.3549366,0.1066021070023576
2006,0.0,135.24088,0.46973324,0.10125000867119982
2007,0.0,135.94122,3.848081,0.10125000867119982
2008,0.0,136.95317,19.211803,0.10125000867119982
2009,0.0,136.09694,-2.3504744,0.10125000867119982
2010,0.0,135.35942,-0.40417412,0.09569705181361142
2011,0.7876505,135.36685,25.49864,0.09583913466038255
2012,0.0,134.42197,-4.3194613,0.09158609463044955
2013,0.0,134.32838,6.651106,0.09158609463044955
2014,0.0,133.38475,-0.082452685,0.09158609463044955
2015,0.0,133.95805,2.1045692,0.09158609463044955
2016,0.0,134.54373,11.150829,0.09158609463044955
2017,0.0,133.22658,0.295178,0.09158609463044955
2018,0.0,132.15077,-1.1841956,0.09158609463044955
2019,0.0,132.14656,0.2964061,0.09158609463044955
2020,0.0,131.40515,0.6113249,0.09158609463044955
2021,0.0,131.22284,-2.6167858,0.09158609463044955
2022,0.0,130.19698,-0.58441466,0.08698822524629413
2023,0.0,130.68163,3.6173842,0.07854584263507268
2024,0.0,129.96579,1.1862425,0.07451173787583015
2025,0.0,129.26627,4.374598,0.07451173787583015
2026,0.0,128.25555,0.96729875,0.07073311178286264
2027,0.0,127.20102,0.06742041,0.07073311178286264
2028,0.0,126.15793,0.5746117,0.06806056854237673
2029,0.0,126.411514,-1.369206,0.06028816607307812
2030,0.0,126.89858,3.6505582,0.06028816607307812
2031,0.0,127.12423,-1.3372872,0.055834967327512496
2032,0.0,127.04456,-4.8405256,0.055834967327512496
2033,0.0,125.89859,0.041474402,0.045609264314334486
2034,0.0,124.654686,0.22940493,0.045609264314334486
2035,0.0,123.74041,-5.59502,0.045609264314334486
2036,0.0,122.634895,-4.908437,0.045609264314334486
2037,0.0,122.11395,5.107834,0.045609264314334486
2038,0.0,121.0653,-4.836102,0.045609264314334486
2039,0.0,120.52132,-0.0178691,0.045609264314334486
2040,0.0,119.93133,1.6251986,0.045609264314334486
2041,0.0,118.82871,1.1908258,0.041697810062148156
2042,0.0,117.74598,1.432825,0.041697810062148156
2043,0.0,117.79095,4.652044,0.041697810062148156
2044,0.0,116.91595,-3.3525105,0.041697810062148156
2045,0.0,117.13948,-1.4457915,0.03675836172633133
2046,0.0,117.03415,1.9748111,0.03183819748895021
2047,0.0,116.942566,-0.05188556,0.0219671585609394
2048,0.0,115.58376,0.112250134,0.0219671585609394
2049,0.0,114.78404,-3.6924474,0.01240786620300663
2050,0.0,114.32269,0.03863153,0.01240786620300663
2051,0.0,114.21442,2.0656378,0.01240786620300663
2052,0.0,113.4353,2.1053593,0.01240786620300663
2053,0.0,112.12682,2.1391668,0.01240786620300663
2054,0.0,112.11025,0.33146292,0.01240786620300663
